Stations_id von_datum bis_datum Stationshoehe geoBreite geoLaenge Stationsname Bundesland
02522 19480101 20081031 112 49.0382 8.3641 Karlsruhe Baden-Wurttemberg
02532 19540101 20131031 231 51.2963 9.4424 Kassel Hessen
02559 19660101 20231206 705 47.7233 10.3348 Kempten Bayern
02564 19740101 20231206 28 54.3776 10.1424 Kiel-Holtenau Schleswig-Holstein
02565 19530101 19881015 17 54.3378 10.0929 Kiel-Kronshagen Schleswig-Holstein
02573 19870610 20231206 470 47.9588 12.7717 Waging_am_See-Schnobling Bayern
02597 19721201 20231206 282 50.2240 10.0792 Kissingen,_Bad Bayern
02601 19660101 20231206 822 50.2218 8.4469 Kleiner_Feldberg/Taunus Hessen
02638 19690101 20231206 974 48.1054 8.7548 Klippeneck Baden-Wurttemberg
02656 19700701 19891231 96 50.3519 7.5906 Koblenz Rheinland-Pfalz
02667 19570701 20231206 92 50.8645 7.1575 Koln/Bonn Nordrhein-Westfalen
02693 19840401 20031231 380 50.1855 8.4698 Konigstein/Taunus Hessen
02712 19590701 20231206 428 47.6952 9.1307 Konstanz Baden-Wurttemberg
02738 19980101 19980201 776 47.6448 11.7438 Kreuth Bayern
02757 19720101 19831231 238 47.9077 7.7020 Krozingen,_Bad Baden-Wurttemberg
02758 19800701 19900630 202 47.9585 7.6578 Krozingen,_Bad-Hausen Baden-Wurttemberg
02773 19740101 20231031 415 49.4283 11.9016 Kummersbruck Bayern
02794 19890101 20231206 40 52.9362 12.4093 Kyritz Brandenburg
02798 19750101 19980531 32 51.6000 6.1500 Laarbruch Nordrhein-Westfalen
02812 19770127 20231206 156 48.3647 7.8280 Lahr Baden-Wurttemberg
02829 19690101 20171222 617 48.0772 10.9144 Landsberg_(Flugplatz) Bayern
02856 19990501 20231206 91 51.9173 13.0878 Langenlipsdorf Brandenburg
02878 20170801 20231206 117 51.3909 11.8786 Lauchstadt,_Bad Sachsen-Anhalt
02886 19700101 20231130 539 48.2175 9.9097 Laupheim Baden-Wurttemberg
02889 19710101 19781031 300 51.6323 10.4737 Lauterberg,_Bad_(A) Niedersachsen
02897 19900830 20231206 522 50.5808 9.2857 Lautertal-Horgenau Hessen
02905 19690101 20231130 550 48.1849 10.8507 Lechfeld Bayern
02906 19710101 19741031 5 54.7750 8.9808 Leck_(A) Schleswig-Holstein
02907 19741201 20231206 7 54.7903 8.9514 Leck Schleswig-Holstein
02925 19730101 20231206 356 51.3932 10.3123 Leinefelde Thuringen
02926 19710101 19891231 477 48.4333 10.2333 Leipheim_(Flugplatz) Bayern
02928 19580101 20231206 138 51.3151 12.4462 Leipzig-Holzhausen Sachsen
02932 19720501 20231206 131 51.4347 12.2396 Leipzig/Halle Sachsen
02954 19870401 20041228 990 47.8919 8.1788 Lenzkirch-Saig Baden-Wurttemberg
02961 20010401 20231206 0 54.4996 10.2737 Leuchtturm_Kiel Schleswig-Holstein
